Партія,ТВО,№Р,Кандидат,Голосів,Голосів словами,%,Обраний?
Єдність Олександра Омельченка,10,1,Товмасян Ваган Робертович,6030,шість тисяч тридцять,"14,07",У ТВО
УДАР,3,1,Старостенко Ганна Вікторівна,5867,п'ять тисяч вісімсот шістдесят сім,"12,74",У ТВО
Європейська солідарність,8,1,Таран Сергій Вікторович,3424,три тисячі чотириста двадцять чотири,"12,7",У ТВО
Європейська солідарність,11,2,Ясинський Георгій Ігорович,5078,п'ять тисяч сімдесят вісім,"12,21",У ТВО
Європейська солідарність,5,2,Артеменко Сергій Вікторович,4696,чотири тисячі шістсот дев'яносто шість,"10,95",У ТВО
Європейська солідарність,9,1,Окопний Олексій Юрійович,5077,п'ять тисяч сімдесят сім,"10,86",У ТВО
УДАР,11,1,Муха Вікторія Вячеславівна,4360,чотири тисячі триста шістдесят,"10,48",У ТВО
Європейська солідарність,1,5,Прокопів Володимир Володимирович,5555,п'ять тисяч п'ятсот п'ятдесят п'ять,"9,7",У ТВО
Європейська солідарність,2,1,Ємець Леонід Олександрович,9034,дев'ять тисяч тридцять чотири,"9,45",У ТВО
УДАР,8,2,Терентьєв Михайло Олександрович,2512,дві тисячі п'ятсот дванадцять,"9,32",У ТВО
УДАР,6,2,Маляревич Олесь Вікторович,3771,три тисячі сімсот сімдесят один,"8,85",У ТВО
Європейська солідарність,5,1,Криворучко Тарас Григорович,3623,три тисячі шістсот двадцять три,"8,45",У ТВО
Батьківщина,13,1,Бродський Олександр Якович,4682,чотири тисячі шістсот вісімдесят два,"8,38",У ТВО
УДАР,8,1,Діденко Ярослав Олександрович,2191,дві тисячі сто дев'яносто один,"8,12",Не пройшов
Європейська солідарність,6,1,Міщенко Олександр Григорович,3330,три тисячі триста тридцять,"7,82",У ТВО
Європейська солідарність,13,1,Габібуллаєва Дінара Тарлан кизи,4294,чотири тисячі двісті дев'яносто чотири,"7,69",У ТВО
УДАР,6,1,Странніков Андрій Миколайович,3183,три тисячі сто вісімдесят три,"7,47",У ТВО
УДАР,5,3,Овраменко Олена Вікторівна,2836,дві тисячі вісімсот тридцять шість,"6,61",У ТВО
УДАР,1,1,Калініченко Дмитро Юрійович,3415,три тисячі чотириста п'ятнадцять,"5,96",У ТВО
Батьківщина,4,1,Зубко Юрій Григорович,2672,дві тисячі шістсот сімдесят два,"5,72",Міський список
ОПЗЖ,13,1,Яловий Володимир Борисович,3172,три тисячі сто сімдесят два,"5,68",У ТВО
УДАР,9,1,Мондриївський Валентин Миколайович,2604,дві тисячі шістсот чотири,"5,57",У ТВО
Європейська солідарність,10,1,Коваленко Ганна Миколаївна,2347,дві тисячі триста сорок сім,"5,47",У ТВО
Європейська солідарність,12,1,Галицька Ольга Валеріївна,4031,чотири тисячі тридцять один,"5,43",У ТВО
Європейська солідарність,9,2,Сторожук Вадим Павлович,2470,дві тисячі чотириста сімдесят,"5,28",У ТВО
УДАР,2,1,Гончаров Володимир Валентинович,4836,чотири тисячі вісімсот тридцять шість,"5,06",У ТВО
Європейська солідарність,7,1,Турець Владислав Володимирович,3673,три тисячі шістсот сімдесят три,"5,05",У ТВО
Батьківщина,1,1,Галайчук Ігор Васильович,2886,дві тисячі вісімсот вісімдесят шість,"5,04",У ТВО
Європейська солідарність,13,2,Левченко Олег Анатолійович,2813,дві тисячі вісімсот тринадцять,"5,03",У ТВО
УДАР,10,1,Зубрицька Олеся Михайлівна,2124,дві тисячі сто двадцять чотири,"4,95",У ТВО
Свобода,4,1,Буділов Михайло Михайлович,2306,дві тисячі триста шість,"4,94",Партія не пройшла
Єдність Олександра Омельченка,6,1,Федоренко Ярослав Юрійович,2060,дві тисячі шістдесят,"4,83",Міський список
Батьківщина,9,1,Дідовець Юрій Вікторович,2208,дві тисячі двісті вісім,"4,72",Не пройшов
Перемога Пальчевського,11,2,Гоцький Микола Миколайович,1922,одна тисяча дев'ятсот двадцять два,"4,62",Партія не пройшла
УДАР,3,5,Грушко Віктор Валентинович,2114,дві тисячі сто чотирнадцять,"4,59",У ТВО
УДАР,12,3,Непоп Вячеслав Іванович,3334,три тисячі триста тридцять чотири,"4,49",У ТВО
Єдність Олександра Омельченка,2,1,Павлик Віталій Андрійович,4151,чотири тисячі сто п'ятдесят один,"4,34",У ТВО
Європейська солідарність,4,4,Погребиський Олександр Ігорович,1950,одна тисяча дев'ятсот п'ятдесят,"4,18",У ТВО
Європейська солідарність,3,1,Порайко Андрій Миколайович,1889,одна тисяча вісімсот вісімдесят дев'ять,"4,1",У ТВО
Європейська солідарність,11,1,Пастухова Наталія Юзьківна,1662,одна тисяча шістсот шістдесят два,"3,99",Міський список
Європейська солідарність,7,2,Никорак Ірина Петрівна,2813,дві тисячі вісімсот тринадцять,"3,87",У ТВО
Європейська солідарність,7,5,Ар’єва Ярина Володимирівна,2761,дві тисячі сімсот шістдесят один,"3,8",У ТВО
Європейська солідарність,2,2,Баленко Ігор Миколайович,3622,три тисячі шістсот двадцять два,"3,79",У ТВО
УДАР,13,1,Банас Дмитро Миколайович,2086,дві тисячі вісімдесят шість,"3,73",У ТВО
УДАР,3,3,Іщенко Михайло Володимирович,1716,одна тисяча сімсот шістнадцять,"3,72",У ТВО
Батьківщина,7,1,Свириденко Ганна Вікторівна,2657,дві тисячі шістсот п'ятдесят сім,"3,65",У ТВО
Слуга народу,3,1,Маляр Ганна Василівна,1584,одна тисяча п'ятсот вісімдесят чотири,"3,43",Не пройшов
УДАР,3,2,Шарій Володимир Васильович,1545,одна тисяча п'ятсот сорок п'ять,"3,35",Не пройшов
ОПЗЖ,8,1,Щербань Андрій Вікторович,885,вісімсот вісімдесят п'ять,"3,28",Не пройшов
Європейська солідарність,1,1,Ковалевська Людмила Олександрівна,1850,одна тисяча вісімсот п'ятдесят,"3,23",У ТВО
Єдність Олександра Омельченка,9,1,Маслова Наталія Владиславівна,1514,одна тисяча п'ятсот чотирнадцять,"3,23",Не пройшов
Батьківщина,12,1,Негрич Микола Михайлович,2316,дві тисячі триста шістнадцять,"3,12",Не пройшов
УДАР,4,2,Опадчий Ігор Михайлович,1455,одна тисяча чотириста п'ятдесят п'ять,"3,11",У ТВО
Перемога Пальчевського,2,1,Дегтярьова Лариса Вікторівна,2953,дві тисячі дев'ятсот п'ятдесят три,"3,09",Партія не пройшла
УДАР,7,1,Смірнова Мирослава Михайлівна,2246,дві тисячі двісті сорок шість,"3,09",У ТВО
Народовладдя,13,1,Кутняк Святослав Вікторович,1706,одна тисяча сімсот шість,"3,05",Партія не пройшла
ОПЗЖ,5,1,Мостовий Андрій Васильович,1311,одна тисяча триста одинадцять,"3,05",Не пройшов
